episode,reward,average_reward,average_loss,epsilon,buffer_size,evaluation_reward
127,148.0,48.32,0.9608534959119719,0.5290920728090721,5369,
128,123.0,49.41,1.21896011788186,0.5264466124450268,5492,
129,105.0,50.27,1.5887391948983782,0.5238143793828016,5597,
130,12.0,50.24,2.625517879923185,0.5211953074858876,5609,
131,206.0,52.15,1.765804776216595,0.5185893309484582,5815,
132,81.0,52.67,1.4202430958365218,0.5159963842937159,5896,
133,31.0,52.81,1.6050701843154045,0.5134164023722473,5927,
134,153.0,53.94,1.7711729059616725,0.510849320360386,6080,
135,54.0,54.37,1.8066377921236887,0.5082950737585841,6134,
136,13.0,54.39,2.1183865597614875,0.5057535983897912,6147,
137,108.0,55.18,2.1589488605106317,0.5032248303978422,6255,
138,92.0,55.84,2.2327561666784077,0.500708706245853,6347,
139,14.0,55.82,2.1150160836321965,0.4982051627146237,6361,
140,10.0,55.71,0.5570905908942223,0.49571413690105054,6371,
141,124.0,56.5,1.5956000277111608,0.4932355662165453,6495,
142,124.0,57.55,1.3843522465998126,0.4907693883854626,6619,
143,142.0,58.74,1.96685394749675,0.4883155414435353,6761,
144,77.0,59.31,2.715726325651268,0.4858739637363176,6838,
145,85.0,60.01,1.8012544305885538,0.483444593917636,6923,
146,23.0,60.1,2.197623022224592,0.4810273709480478,6946,
147,113.0,60.46,1.9224269855602654,0.47862223409330756,7059,
148,42.0,60.66,2.109244937698046,0.47622912292284103,7101,
149,37.0,60.92,1.958247932227882,0.4738479773082268,7138,
150,36.0,61.19,3.0584013726976185,0.47147873742168567,7174,216.7
151,24.0,61.25,0.8204485426346461,0.46912134373457726,7198,
152,12.0,61.26,2.057128630578518,0.46677573701590436,7210,
153,36.0,61.46,2.7320238538086414,0.46444185833082485,7246,
154,13.0,61.48,1.9141903382081251,0.46211964903917074,7259,
155,117.0,62.53,2.1218623482009287,0.4598090507939749,7376,
156,20.0,62.37,1.6611619025468827,0.457510005540005,7396,
157,16.0,62.39,1.3225352484732866,0.45522245551230495,7412,
158,163.0,63.77,2.434305763683436,0.4529463432347434,7575,
159,145.0,64.97,2.725601453411168,0.4506816115185697,7720,
160,11.0,64.95,2.1663227406415073,0.4484282034609769,7731,
161,13.0,64.92,3.540181898153745,0.446186062443672,7744,
162,76.0,65.49,1.8269534861963046,0.4439551321314536,7820,
163,44.0,65.67,2.70749268443747,0.4417353564707963,7864,
164,28.0,65.73,4.8835303027715,0.43952667968844233,7892,
165,75.0,66.36,3.0222123209635416,0.43732904629000013,7967,
166,19.0,66.19,2.457883349374721,0.4351424010585501,7986,
167,13.0,65.84,3.3447176607755513,0.43296668905325736,7999,
168,23.0,65.72,3.2286506852378016,0.43080185560799106,8022,
169,26.0,65.56,3.0717337406598606,0.4286478463299511,8048,
170,178.0,66.73,2.6697291479016956,0.42650460709830135,8226,
171,12.0,66.68,2.1214426731069884,0.42437208406280985,8238,
172,35.0,66.6,2.8886974368776595,0.4222502236424958,8273,
173,80.0,66.87,3.428024895489216,0.42013897252428334,8353,
174,23.0,66.64,3.8843834426092063,0.4180382776616619,8376,
175,22.0,66.46,3.178965710780837,0.4159480862733536,8398,129.2
176,15.0,66.19,3.3532109638055165,0.41386834584198684,8413,
177,113.0,66.61,2.732416561483282,0.4117990041127769,8526,
178,164.0,67.88,2.989198866323,0.40974000909221303,8690,
179,137.0,68.38,3.001781090006341,0.40769130904675194,8827,
180,40.0,67.83,1.5078656315803527,0.40565285250151817,8867,
181,14.0,67.65,1.9962774855749947,0.4036245882390106,8881,
182,64.0,68.09,3.0035510645247996,0.4016064652978155,8945,
183,26.0,67.87,3.409779137143722,0.3995984329713264,8971,
184,10.0,66.78,3.747240477800369,0.3976004408064698,8981,
185,172.0,68.3,3.138422310872133,0.39561243860243744,9153,
186,23.0,67.79,3.3216124371342035,0.3936343764094253,9176,
187,73.0,67.85,3.765658632941442,0.39166620452737816,9249,
188,149.0,69.13,3.4961260696185517,0.3897078735047413,9398,
189,228.0,70.64,3.7870969202434805,0.3877593341372176,9626,
190,40.0,70.1,3.327929423749447,0.3858205374665315,9666,
191,27.0,70.09,1.9498929624204282,0.38389143477919885,9693,
192,141.0,70.74,2.7111822580192104,0.3819719776053028,9834,
193,19.0,70.36,4.419374425160258,0.3800621177172763,9853,
